channel_id,channel_title,discovered_via_keyword,category,subcategory,language,tier
UCdVmeIX3xVnQcTa5OMRz-hw,Abhinay Maths,abhinay sharma maths,brand_educator,brand_personality,english,1
UCIuk-x-RwTOIbPenYaq3C_A,Abhinay Sir Clips,abhinay sharma maths,brand_educator,brand_personality,english,1
UCugL9QP5uvplNz2CwJeuCSw,Abhinay Super Sharma,abhinay sharma maths,brand_educator,brand_personality,english,1
UCwP1UZ0NizNaYQEDmh-qtqA,ABHINAY MATHS PRO,abhinay sharma maths,brand_educator,brand_personality,english,1
UCYabao5MSmnToXZbg9TRzfA,abhinay sir fan club,abhinay sharma maths,brand_educator,brand_personality,english,1
UCz43ap4jIL7DFeYPyYiHTfg,Abhinay sir shortvideos,abhinay sharma maths,brand_educator,brand_personality,english,1
UCoCB5BAwEjmN0cYnm28sd2A,SSC Maths shorts ,abhinay sharma maths,brand_educator,brand_personality,english,1
UCLsXHzLHI5ORoJ9UqttoqlQ,SSC - Abhinay Maths,abhinay sharma maths,brand_educator,brand_personality,english,1
UC4gcTfB36F_KbW_E5y6fP9A,SSC Best Teacher,abhinay sharma maths,brand_educator,brand_personality,english,1
UCzwCEE_PchiBULMnAJqhGVg,Raj Shamani,abhinay sharma maths,brand_educator,brand_personality,english,1
UC9PctDY-V_f6VqYdjZVzEjA,Abhinay sir fan club,abhinay sharma maths,brand_educator,brand_personality,english,1
UCcAIMUdZiZxbpO_V9uAJ4mg,StudyGram - Anjali Chaubey,abhinay sharma maths,brand_educator,brand_personality,english,1
UCAyYBPzFioHUxvVZEn4rMJA,SSC Adda247,adda247,brand_educator,brand_personality,english,1
UChC-qt80cJxW1xQEsq7BETg,Adda247 Punjab ,adda247,brand_educator,brand_personality,english,1
UC1L2JoMpcY6MRLhFd3gg5Xg,Adda247 ,adda247,brand_educator,brand_personality,english,1
UCBS2TBsSg4bl--zknEC6cbQ,Adda247 Odia,adda247,brand_educator,brand_personality,english,1
UCBKKteWJHHa9wYG-7dBSXnA,Adda 247 Police Exams ,adda247,brand_educator,brand_personality,english,1
UCNxOioAL26MIhh7jpCilmsw,Bihar Adda247,adda247,brand_educator,brand_personality,english,1
UCMCAVBCaVHZQpZeO-ZUuJzw,Science Adda247,adda247,brand_educator,brand_personality,english,1
UCqqDD-1K6WTjS16Y8pdY1_Q,Adda247 Telugu,adda247,brand_educator,brand_personality,english,1
UCoiiIMZUxu0LxabtFk6PfVA,Adda247 Teaching Exams ,adda247,brand_educator,brand_personality,english,1
UC-TQ7O0048EAd029Y2_ATPA,BANKING LOVE,adda247,brand_educator,brand_personality,english,1
UCiGyWN6DEbnj2alu7iapuKQ,Physics Wallah - Alakh Pandey,alakh pandey,brand_educator,brand_personality,english,1
UCFLdnJ7lV_s64MKTXNGp-EQ,Alakh Pandey - Class 9th & 10th,alakh pandey,brand_educator,brand_personality,english,1
UCBqFKDipsnzvJdt6UT0lMIg,Sandeep Maheshwari,alakh pandey,brand_educator,brand_personality,english,1
UCkS7Vxu4PjM99w0Is6idjcg,Zakir Khan,alakh pandey,brand_educator,brand_personality,english,1
UCvPB20VHfvg4emaEk7lnWww,investupmedia,alakh pandey,brand_educator,brand_personality,english,1
UC0mPY1M_FzeiNxo2YztlnYA,Motiwave,alakh pandey,brand_educator,brand_personality,english,1
UCD16eo98AXl-9T61Xd711kQ,Competition Wallah,alakh pandey,brand_educator,brand_personality,english,1
UCSkZmSMgEHm0Fc0MqgdlxcQ,PW Unplugged,alakh pandey,brand_educator,brand_personality,english,1
UCNAgR0h4qsEecj3SMMxkNWg,Hustlers Editz,alakh pandey,brand_educator,brand_personality,english,1
UC865ytBuIo9ii5lt62OmAcA,Motivational Buddy,alakh pandey,brand_educator,brand_personality,english,1
UCvEr_OJPwLOAIRBqwSPEaYQ,Alakh Sir - Class 9th,alakh pandey,brand_educator,brand_personality,english,1
UCaS145jxi7gQbCKPWqAEzEA,DreamDrive,alakh pandey,brand_educator,brand_personality,english,1
UCYkhPBZuPG8NE72ZyUXNL3w,Shikhu_editz,alakh pandey,brand_educator,brand_personality,english,1
UC1bP2CSl2eSNOCGU05dJHfg,Alakh - Voice of students,alakh pandey,brand_educator,brand_personality,english,1
UCw1dDZAtXuzhhMjPkUCmWKg,EduVibes,alakh pandey,brand_educator,brand_personality,english,1
UC3jmTCKtEVOi2TkruS2r3zA,Academic Avenue,alakh pandey,brand_educator,brand_personality,english,1
UC4VgIfg_wJyTcI1VuuPtCDA,DHEERAJ SRIVASTAVA ,alakh pandey,brand_educator,brand_personality,english,1
UCphU2bAGmw304CFAzy0Enuw,Physics Wallah Foundation,alakh pandey,brand_educator,brand_personality,english,1
UCr0LD9j97J8ZBYPzPhC9P4w,Success Formula ,alakh pandey,brand_educator,brand_personality,english,1
UCstUgFz4kRGzDBdVwvOJc6g,Study Buddy,alakh pandey,brand_educator,brand_personality,english,1
UCg_FiUBBC5msR_e51DD5bZg,Newton Edit,alakh pandey,brand_educator,brand_personality,english,1
UC9AqbqcyaT5nQ_rRi5kR0tw,Priyanka Editz,alakh pandey,brand_educator,brand_personality,english,1
UCn2YaxoXROrVYorXagp2s8w,Shorts Motivation ,alakh pandey,brand_educator,brand_personality,english,1
UCsRFHmsKTlAqJU_DAlA-jiQ,15v Edits,alakh pandey,brand_educator,brand_personality,english,1
UCaYVWtUDQAn0ZAJdkWCowtA,Goal Achievers Walle • 24K views • 1 hours..,alakh pandey,brand_educator,brand_personality,english,1
UCw9i9ZRTJVu_Sz53gecp3_A,JEE4EVER,alakh pandey,brand_educator,brand_personality,english,1
UCnfBI9u4u1PUgnNuFGKh6Cg,PW Pupils,alakh pandey motivation,brand_educator,brand_personality,english,1
UCAN1RgmZv2GZ4dLTQP7qe2Q,PW Emotion,alakh pandey motivation,brand_educator,brand_personality,english,1
UC8rsRDBBE1aUEzVETfHtCvQ,YAKEEN NEET Dropper,alakh pandey motivation,brand_educator,brand_personality,english,1
UCbHvuUbDiDFhAKmL2YLWwlQ,Motivational Gyan,alakh pandey motivation,brand_educator,brand_personality,english,1
UCv3-CdrIuQA_YzNe3yQR1PQ,PW Motivation,alakh pandey motivation,brand_educator,brand_personality,english,1
UCMQcRCJZO-05Fv7JgCWVFTw,Motivate Yaar,alakh pandey motivation,brand_educator,brand_personality,english,1
UCKC9QlnKx2BYYflQ3yw6NfA,Focus With AA,alakh pandey motivation,brand_educator,brand_personality,english,1
UC1Txp14DaMQGp5YjfQalj3g,5am Zone,alakh pandey motivation,brand_educator,brand_personality,english,1
UCwFWVNfgdQDqcDYNlR6bing,Learn And Grow Tv ,alakh pandey motivation,brand_educator,brand_personality,english,1
UCh0vYBwJYSwP-MkAg4YIOlw,PW SHAYARI HUB,alakh pandey motivation,brand_educator,brand_personality,english,1
UCie4yopQMwVLsuR-LOQJ6Uw,COMPETITIVE SECRET,alakh pandey motivation,brand_educator,brand_personality,english,1
UC3lnkaSA9jTsRQegrC6ddTw,Feeling Motivated,alakh pandey motivation,brand_educator,brand_personality,english,1
UC0sUUjoiGwlDOVp3cqkOHKQ,CrackUPSCwithAdarsh,alakh sir,brand_educator,brand_personality,english,1
UC8OCoGX9tmMneOzIFUTWq2Q,Defence Wallah,alakh sir,brand_educator,brand_personality,english,1
UCDSzEEnMC6QbbiOLI_0HoKw,Nikhill,alakh sir,brand_educator,brand_personality,english,1
UCqaP_QcjowjbCqoPS8OJbDw,Allrounder Editz,alakh sir,brand_educator,brand_personality,english,1
UCg3SFDy7i_q8IWxmWGo32iA,PW COMPLEX,alakh sir,brand_educator,brand_personality,english,1
UCofVUBfwYl8tVNwh7A1e9lQ,ReviveYourMind,alakh sir,brand_educator,brand_personality,english,1
UC1RcS0u2_KRew78zuvd6IaQ,PW faculties,alakh sir,brand_educator,brand_personality,english,1
UCAjK1QaD1QeYOj5QdUxEi4g,Study Universe,alakh sir,brand_educator,brand_personality,english,1
UCzQnBIiooABlgcgpa1IJvsA,Study Champ,alakh sir,brand_educator,brand_personality,english,1
UCRe196QBNuzwa4_oDk22SHA,Study Minds Online,alakh sir,brand_educator,brand_personality,english,1
UChf6xi1WL27OEqLp3wu0q8Q,PWians,alakh sir,brand_educator,brand_personality,english,1
UCzuXgnRE_PCfmG7AgK3Y_AA,A To Z Biography ,alakh sir,brand_educator,brand_personality,english,1
UCoKG93bw4wzDJA2RYlNhRjg,PW Emperor ,alakh sir,brand_educator,brand_personality,english,1
UC5PTzKsJ4YuSDYs0mhakaHg,Universal Solvent (Amit Mahajan),amit sir chemistry,brand_educator,brand_personality,english,1
UCGw8iWmsw1cPlfcrww-3C0g,PW NEET,amit sir chemistry,brand_educator,brand_personality,english,1
UCzCUbOnQpchc7KLQTLS_63g,aadi atp,amit sir chemistry,brand_educator,brand_personality,english,1
UCvD8eaxEc6cuWMCZxz5y4Gg,JEE Nerds,amit sir chemistry,brand_educator,brand_personality,english,1
UCUz9Q1bgALD-K24qnXpYBLA,ManjuMam-forUPSC,amit sir chemistry,brand_educator,brand_personality,english,1
UCB9VHxG10uMUKeiJ5eHRwHQ,Crispy clips💥,amit sir chemistry,brand_educator,brand_personality,english,1
UCuipKjq6tWKt2c8sJa7a31w,Ani-PwDox,amit sir chemistry,brand_educator,brand_personality,english,1
UCs9-notZmQ4iwJbAhBVmgLQ,PW FAMILY,amit sir chemistry,brand_educator,brand_personality,english,1
UCk0CfsJU8eZvAcbbQoEvAzg,Nagesh,amit sir chemistry,brand_educator,brand_personality,english,1
UCcEnPq88uaK0foJsfgw7r7g,RWA Railway Exams,amit sir chemistry,brand_educator,brand_personality,english,1
UCDiqcGolHD-YnRhjCXLkjEQ,Pw Velocity,amit sir chemistry,brand_educator,brand_personality,english,1
UCES6Cu2IZq3HM4ghnLi1F8Q,YOUR CHEMISTRY TEACHER,amit sir chemistry,brand_educator,brand_personality,english,1
UCWA-PJoNXIb1PA8kNg4HRzw,YOUTH EDUCATOR,amit sir chemistry,brand_educator,brand_personality,english,1
UCebXQIhfxipESyuf7cnI_Mw,PW Swag,amit sir chemistry,brand_educator,brand_personality,english,1
UCTU4qiJBrhjmeCZK3tGe1nA,PW The Brand,amit sir chemistry,brand_educator,brand_personality,english,1
UCJq25-x2x6L4_4lw54NQyeg,Toppers Academy No 1,amit sir chemistry,brand_educator,brand_personality,english,1
UCjQuss5rBOCUZ5Rhn5L_DkQ,@ pw  clips ,amit sir chemistry,brand_educator,brand_personality,english,1
UCh6WChfIqIKYVsUkua_0hOA,NEET Learners,amit sir chemistry,brand_educator,brand_personality,english,1
UCXemq2F2RU59kJVge914lug,About Motivation,amit sir chemistry,brand_educator,brand_personality,english,1
UCV_YI0N-3UFqkCzgubcDbAQ,SurgeonPlayZone,amit sir chemistry,brand_educator,brand_personality,english,1
UCk87pbNbq6WAgXbQsDKPo2A,PW Guide,amit sir chemistry,brand_educator,brand_personality,english,1
UCRMvBTKM-LrrFM5hsEKxUqQ,विजयरथ बैच RWA (RRB Group D),amit sir chemistry,brand_educator,brand_personality,english,1
UC6DLw-6o--plfdqKitRlkWA,Chemistry with amit sir,amit sir chemistry,brand_educator,brand_personality,english,1
UCk19x9BG23f5xkHOzihhclA,Yakeen,amit sir chemistry,brand_educator,brand_personality,english,1
UCp6yJ6E59HkjB4C9XdPLehA,Kreem,amit sir chemistry,brand_educator,brand_personality,english,1
UCZdJuK53DkYTSuhqMe9_xXg,RWA Short Creator ,amit sir chemistry,brand_educator,brand_personality,english,1
UCfCLoiWn2f0Yp61rMZZYR4Q,The Excited State,amit sir chemistry,brand_educator,brand_personality,english,1
UCE6rnpx7g_AQcHf93Kcl-ww,VISION NEET,amit sir chemistry,brand_educator,brand_personality,english,1
UCZmj67bJoUO1RnZnGJy2PLw,AmitabhJEE,amit sir chemistry,brand_educator,brand_personality,english,1
UCxTJ1pDtL0SwrAvPppxPraA,Trickify Math ,arihant publications,brand_educator,brand_personality,english,1
UCDnSaAwRgBssFuTUX_2iCJw,JETSCI GLOBAL,arihant publications,brand_educator,brand_personality,english,1
UCiqA7yJOYoFXc_WDR2omD7w,sana_speaks ,arihant publications,brand_educator,brand_personality,english,1
UCCc3Pevx_29T4gU3OMDkj1Q,GK WITH HEMANT ,arihant publications,brand_educator,brand_personality,english,1
UCfF3vxOOKZXGccv12NoHqXw,Arihant Publications,arihant publications,brand_educator,brand_personality,english,1
UC3kSjcNLN0WA2OPiyTO_yGQ,Prarambh books 📚 gallery,arihant publications,brand_educator,brand_personality,english,1
UCOF3tM6c2iOM0kNQomSQBGQ,BOOK_NEWS742,arihant publications,brand_educator,brand_personality,english,1
UC5goVMyAY1JNM8A-rYtsGwA,SURESH BOOK DEPOT,arihant publications,brand_educator,brand_personality,english,1
UCr41DGhc4coz0K5kVJXu1bA,Student Saathi,arihant publications,brand_educator,brand_personality,english,1
UCB1IdDUvSGTRqlt2f0m5xuw,K P,arihant publications,brand_educator,brand_personality,english,1
UC4BHoGbNmSLmx8WsRNm1LmA,Saurabh Mavai,arihant publications,brand_educator,brand_personality,english,1
UCxZ2dM34LT91o7PhJNpa2JQ,Simple Guide,arihant publications,brand_educator,brand_personality,english,1
